"Rank","Player","Team","Positions","FG%","FT%","3PM","REB","AST","STL","BLK","PTS","Overall"
"374","Khem Birch","ORL","PF,C","0.03","0.11","-0.87","-0.75","-0.79","-0.75","-0.56","-0.89","-4.47"
"375","Deonte Burton","OKC","PG","-0.07","0.05","-0.73","-0.84","-0.78","-0.87","-0.42","-0.82","-4.48"
"376","Guerschon Yabusele","BOS","SF,PF","-0.14","-0.02","-0.76","-0.78","-0.71","-0.75","-0.49","-0.86","-4.51"
"377","Frank Jackson","NOR","PG","-0.35","-0.09","-0.38","-0.82","-0.65","-0.87","-0.75","-0.61","-4.53"
"378","Ivan Rabb","MEM","PF,C","0.23","-0.04","-0.87","-0.67","-0.71","-0.99","-0.62","-0.89","-4.56"
"379","Will Barton","DEN","SG,SF","0.16","0.12","-0.69","-0.89","-0.76","-0.99","-0.62","-0.89","-4.57"
"380","Sviatoslav Mykhailiuk","LAL","SG,SF","-0.58","-0.43","-0.24","-0.82","-0.55","-0.51","-0.75","-0.69","-4.58"
"381","Joakim Noah","MEM","PF,C","0.05","-0.51","-0.87","-0.60","-0.63","-0.87","-0.36","-0.80","-4.59"
"382","Sindarius Thornwell","LAC","SG","-0.04","0.14","-0.83","-0.77","-0.71","-0.87","-0.62","-0.90","-4.60"
"383","Salah Mejri","DAL","C","0.19","0.05","-0.87","-0.72","-0.76","-0.93","-0.69","-0.90","-4.62"
"384","Troy Brown","WAS","SF","-0.28","-0.02","-0.76","-0.76","-0.59","-0.69","-0.69","-0.84","-4.63"
"385","Ryan Anderson","PHO","PF,C","-0.57","0.04","-0.62","-0.55","-0.59","-0.87","-0.69","-0.79","-4.64"
"386","Chimezie Metu","SAS","F","-0.22","0.07","-0.87","-0.74","-0.68","-0.75","-0.62","-0.84","-4.65"
"387","Jalen Jones","CLE","SG,SF","-0.14","0.00","-0.66","-0.74","-0.78","-0.87","-0.69","-0.83","-4.69"
"388","Bismack Biyombo","CHA","PF,C","0.19","-0.49","-0.87","-0.73","-0.81","-0.99","-0.10","-0.90","-4.70"
"389","Shake Milton","PHI","G","0.05","0.06","-0.69","-0.93","-0.76","-0.87","-0.69","-0.92","-4.76"
"390","Michael Carter-Williams","HOU","PG","-0.20","-0.99","-0.62","-0.87","-0.52","-0.51","-0.36","-0.74","-4.81"
"391","Kenneth Faried","BKN","PF,C","0.41","-0.34","-0.87","-0.73","-0.84","-0.99","-0.62","-0.83","-4.81"
"392","Caleb Swanigan","POR","PF,C","-0.36","0.08","-0.83","-0.50","-0.74","-0.81","-0.75","-0.90","-4.82"
"393","TJ Leaf","IND","PF","-0.18","-0.01","-0.76","-0.71","-0.78","-0.93","-0.62","-0.86","-4.85"
"394","Michael Beasley","LAL","SF,PF","0.17","-0.08","-0.83","-0.82","-0.79","-0.93","-0.75","-0.82","-4.85"
"395","Tyler Dorsey","ATL","PG,SG","-0.46","-0.42","-0.66","-0.65","-0.63","-0.69","-0.69","-0.71","-4.91"
"396","Demetrius Jackson","PHI","PG,SG","0.07","0.12","-0.80","-0.96","-0.78","-0.93","-0.75","-0.93","-4.96"
"397","Ron Baker","WAS","PG,SG","-0.34","0.05","-0.83","-0.89","-0.62","-0.69","-0.69","-0.97","-4.97"
"398","James Nunnally","MIN","F","-0.04","0.12","-0.69","-0.95","-0.78","-0.99","-0.75","-0.91","-5.00"
"399","Ben McLemore","SAC","SG","-0.39","-0.07","-0.52","-0.89","-0.79","-0.87","-0.62","-0.86","-5.00"
"400","Ryan Broekhoff","DAL","F","-0.16","0.06","-0.66","-0.86","-0.81","-0.99","-0.69","-0.91","-5.01"
"401","Dragan Bender","PHO","PF,C","-0.16","0.08","-0.80","-0.82","-0.74","-0.99","-0.69","-0.92","-5.03"
"402","Christian Wood","MIL","PF,C","0.08","0.05","-0.80","-0.84","-0.82","-1.05","-0.75","-0.92","-5.05"
"403","Dirk Nowitzki","DAL","PF,C","-0.41","0.18","-0.62","-0.85","-0.82","-1.05","-0.62","-0.85","-5.05"
"404","Jevon Carter","MEM","PG","-0.20","-0.00","-0.80","-0.94","-0.74","-0.75","-0.69","-0.95","-5.07"
"405","Johnathan Williams","LAL","F","0.12","-0.35","-0.87","-0.79","-0.79","-0.99","-0.49","-0.93","-5.09"
"406","Drew Eubanks","SAS","F","0.26","-0.07","-0.87","-0.90","-0.84","-0.99","-0.75","-0.93","-5.10"
"407","Tyler Lydon","DEN","PF","0.15","-0.07","-0.76","-0.90","-0.82","-0.99","-0.75","-0.96","-5.10"
"408","Jordan Loyd","TOR","G","0.11","0.12","-0.80","-0.94","-0.84","-1.05","-0.75","-0.97","-5.13"
"409","Timothe Luwawu-Cabarrot","OKC","SG,SF","-0.39","-0.07","-0.69","-0.83","-0.79","-0.81","-0.69","-0.88","-5.15"
"410","Skal Labissiere","SAC","PF,C","-0.06","-0.30","-0.76","-0.81","-0.79","-0.93","-0.62","-0.90","-5.17"
"411","Jerome Robinson","LAC","SG","0.05","-0.00","-0.69","-0.96","-0.84","-1.05","-0.75","-0.93","-5.18"
"412","Daniel Hamilton","ATL","SF,SG","-0.15","-0.13","-0.76","-0.79","-0.70","-0.99","-0.75","-0.91","-5.19"
"413","Luol Deng","MIN","SF,PF","-0.06","-0.04","-0.87","-0.88","-0.84","-0.87","-0.69","-0.97","-5.22"
"414","Moritz Wagner","LAL","PF","-0.12","-0.20","-0.66","-0.86","-0.74","-0.99","-0.75","-0.90","-5.22"
